客户姓名,信用评分,自动审批状态,申请细节
张三,680,通过,"{""term"": 5, ""grade"": ""B"", ""dti"": 3.81, ""openAcc"": 1, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2007-01-01"", ""verificationStatus"": 2}"
张三,647,人工审核,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 5, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2008-01-02"", ""verificationStatus"": 2}"
张三,647,人工审核,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 5, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2009-01-03"", ""verificationStatus"": 2}"
张三,680,通过,"{""term"": 5, ""grade"": ""A"", ""dti"": 23.0, ""openAcc"": 5, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2010-01-04"", ""verificationStatus"": 2}"
张三,647,人工审核,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 5, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2011-01-05"", ""verificationStatus"": 2}"
张三,674,通过,"{""term"": 5, ""grade"": ""B"", ""dti"": 23.0, ""openAcc"": 5, ""loanAmnt"": 10000, ""annualIncome"": 140638.3, ""interestRate"": 6.01, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2018-01-01"", ""verificationStatus"": 2}"
李四,685,通过,"{""term"": 5, ""grade"": ""A"", ""dti"": 23.0, ""openAcc"": 5, ""loanAmnt"": 10000, ""annualIncome"": 140638.3, ""interestRate"": 6.01, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""3 years"", ""homeOwnership"": 0, ""issueDate"": ""2018-12-27"", ""verificationStatus"": 2}"
张三,643,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2018-12-28"", ""verificationStatus"": 2}"
张三,647,人工审核,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 5, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2018-12-29"", ""verificationStatus"": 2}"
张三,627,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2017-04-05"", ""verificationStatus"": 2}"
张三,609,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2012-08-30"", ""verificationStatus"": 2}"
李四,621,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2007-08-12"", ""verificationStatus"": 2}"
张三,640,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2018-02-18"", ""verificationStatus"": 2}"
李四,605,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2013-07-26"", ""verificationStatus"": 2}"
张三,642,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2017-04-10"", ""verificationStatus"": 2}"
李四,615,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2010-08-22"", ""verificationStatus"": 2}"
